"cell_name","cell_type","cell_type_name","srx_ids","srr_ids","usage_type"
"T0_CT_A08",2,"differentiating_myoblast","SRX379607","SRR1032917","bulk"
"T72_CT_G04",2,"differentiating_myoblast","SRX379952","SRR1033262","single"
"T24_CT_C10",2,"differentiating_myoblast","SRX379729","SRR1033039","bulk"
"T72_CT_D03",2,"differentiating_myoblast","SRX379922","SRR1033232","bulk"
"T24_CT_G06",2,"differentiating_myoblast","SRX379773","SRR1033083","single"
"T72_CT_F07",2,"differentiating_myoblast","SRX379945","SRR1033255","bulk"
"T24_CT_E02",2,"differentiating_myoblast","SRX379745","SRR1033055","single"
"T24_CT_F08",2,"differentiating_myoblast","SRX379763","SRR1033073","bulk"
"T24_CT_A08",2,"differentiating_myoblast","SRX379703","SRR1033013","bulk"
"T24_CT_G03",2,"differentiating_myoblast","SRX379770","SRR1033080","bulk"
"T48_CT_E11",2,"differentiating_myoblast","SRX379850","SRR1033160","bulk"
"T72_CT_D05",2,"differentiating_myoblast","SRX379924","SRR1033234","bulk"
"T48_CT_C10",2,"differentiating_myoblast","SRX379825","SRR1033135","bulk"
"T48_CT_B08",2,"differentiating_myoblast","SRX379811","SRR1033121","single"
"T24_CT_C01",2,"differentiating_myoblast","SRX379720","SRR1033030","single"
"T72_CT_D11",2,"differentiating_myoblast","SRX379930","SRR1033240","bulk"
"T72_CT_B02",2,"differentiating_myoblast","SRX379898","SRR1033208","single"
"T24_CT_B09",2,"differentiating_myoblast","SRX379716","SRR1033026","single"
"T48_CT_A06",2,"differentiating_myoblast","SRX379797","SRR1033107","single"
"T48_CT_B03",2,"differentiating_myoblast","SRX379806","SRR1033116","single"
"T72_CT_G03",2,"differentiating_myoblast","SRX379951","SRR1033261","bulk"
"T48_CT_A03",2,"differentiating_myoblast","SRX379794","SRR1033104","single"
"T24_CT_G11",2,"differentiating_myoblast","SRX379778","SRR1033088","single"
"T72_CT_B09",2,"differentiating_myoblast","SRX379905","SRR1033215","single"
"T48_CT_E07",2,"differentiating_myoblast","SRX379846","SRR1033156","bulk"
"T24_CT_B07",2,"differentiating_myoblast","SRX379714","SRR1033024","single"
"T48_CT_C04",2,"differentiating_myoblast","SRX379819","SRR1033129","bulk"
"T24_CT_E05",2,"differentiating_myoblast","SRX379748","SRR1033058","single"
"T24_CT_G02",2,"differentiating_myoblast","SRX379769","SRR1033079","single"
"T48_CT_F11",2,"differentiating_myoblast","SRX379862","SRR1033172","bulk"
"T72_CT_B06",2,"differentiating_myoblast","SRX379902","SRR1033212","single"
"T48_CT_B04",2,"differentiating_myoblast","SRX379807","SRR1033117","single"
"T48_CT_D12",2,"differentiating_myoblast","SRX379839","SRR1033149","single"
"T72_CT_B04",2,"differentiating_myoblast","SRX379900","SRR1033210","bulk"
"T48_CT_E06",2,"differentiating_myoblast","SRX379845","SRR1033155","bulk"
