"","SRR1033045","SRR1033062","SRR1033262","SRR1033083","SRR1033055","SRR1033121","SRR1033030","SRR1033208","SRR1033026","SRR1033107","SRR1033116","SRR1033104","SRR1033088","SRR1033215","SRR1033024","SRR1033058","SRR1033079","SRR1033212","SRR1033117","SRR1033149"
"ABCA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA8",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,25,0,0,0
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,7,2,0,0,138
"ABCB7",10,0,0,23,0,1,0,32,95,1,4,1,0,34,0,8,0,0,0,0
"ABCB8",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0
"ABCB9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0
"ABCC10",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC4",0,0,0,24,0,0,0,0,0,0,1,6,0,0,0,3,2,0,47,0
"ABCC5",4,0,0,58,0,13,0,2,0,0,30,0,0,23,0,0,0,0,0,0
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC9",6,6,6,13,15,10,8,17,3,0,3,6,13,7,0,23,7,13,9,12
"ABCD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD3",0,0,0,0,11,130,0,0,0,0,41,21,0,1,0,3,0,2,41,0
"ABCD4",0,0,0,0,44,73,19,0,12,0,0,2,0,69,1,45,0,0,0,49
"ABCE1",131,171,272,317,130,57,35,11,207,28,308,48,67,38,286,14,109,290,107,69
"ABCF1",54,32,41,104,6,2,192,1,67,57,61,32,43,0,22,31,48,10,35,14
"ABCF2",159,63,131,46,8,116,278,118,507,212,98,108,9,3,20,54,61,21,185,2
"ABCF3",0,131,0,0,0,2,0,0,65,0,0,0,0,0,48,0,0,5,0,65
"ABCG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD10",68,0,0,0,0,102,0,0,104,4,31,0,0,2,0,0,10,2,1,6
"ABHD11",0,0,0,0,0,30,1,4,2,0,0,0,0,0,0,0,1,0,0,0
"ABHD12",0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD12B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",0,0,7,0,0,0,0,0,0,17,0,0,0,0,13,0,0,1,0,0
"ABHD14A",0,0,0,0,1,0,0,147,65,0,0,0,0,107,0,0,0,0,0,0
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"ABHD14B",0,0,0,0,0,0,0,82,0,0,146,0,19,0,0,5,0,0,0,0
"ABHD15",0,0,2,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0
"ABHD16A",0,0,0,6,0,0,15,11,0,23,0,0,0,0,2,0,0,6,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD2",0,29,0,2,0,0,23,0,0,4,18,0,43,15,21,1,15,0,0,5
"ABHD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD4",0,0,130,0,0,0,0,0,0,0,1,3,0,0,7,0,0,0,0,1
"ABHD5",0,0,0,0,25,0,0,0,0,30,0,14,0,0,72,0,0,0,3,36
"ABHD6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD8",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI1",253,18,0,25,198,0,16,6,3,80,0,93,200,0,13,111,35,4,220,35
"ABI2",45,2,47,0,16,72,0,9,0,1,21,21,71,1,11,0,3,46,0,0
"ABI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI3BP",23,30,47,14,88,2,0,1,0,3,0,11,3,15,43,6,0,226,0,36
"ABL1",1,28,11,0,41,1,0,7,1,0,0,0,0,0,0,0,0,17,0,0
"ABL2",224,16,43,175,61,156,47,9,7,24,69,7,1,25,39,6,3,28,120,0
"ABLIM1",18,0,8,13,58,50,39,53,0,88,15,40,156,81,46,119,94,58,17,175
"ABLIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"ABLIM3",44,3,0,14,0,52,116,39,25,40,49,114,79,95,82,104,50,66,335,188
"ABO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABR",0,0,2,3,0,0,21,6,3,0,9,0,0,0,1,9,0,0,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"ABRACL",132,146,9,0,1,306,369,55,376,369,0,232,0,0,42,3,0,148,0,0
"ABT1",1,383,0,17,0,0,0,174,154,22,218,10,216,0,0,91,126,180,6,227
"ABTB1",0,46,0,0,0,5,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"ABTB2",0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,18
"ACAA1",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,9
"ACAA2",243,96,8,214,44,269,305,49,244,158,152,754,295,3,33,117,547,84,16,272
"ACACA",2,6,0,2,0,121,0,0,1,23,13,0,0,1,0,0,2,3,1,3
"ACACB",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,39,0,0,0,5
"ACAD10",0,0,0,0,0,0,0,89,118,0,0,0,0,0,0,0,0,0,2,0
"ACAD11",0,1,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,69,17
"ACAD8",0,1,0,0,0,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ACAD9",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,110,0,0,0
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",3,0,0,14,108,19,0,0,23,59,50,55,19,0,78,41,7,8,0,0
"ACADS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADSB",103,0,38,0,34,0,0,0,13,0,0,0,0,2,66,0,0,0,0,0
"ACADVL",10,0,0,64,0,1,9,9,20,1,0,32,112,49,103,0,0,0,0,18
"ACAN",18,0,0,0,0,46,0,0,1,0,5,1,0,6,24,2,0,0,0,0
"ACAP1",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP2",20,0,0,0,2,2,0,34,2,31,0,0,0,10,0,8,0,12,0,0
"ACAP3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ACAT1",108,395,1,168,19,0,24,0,173,0,1,177,237,0,41,15,37,2,0,270
"ACAT2",1264,66,299,202,161,123,110,317,227,226,568,1,1326,0,26,359,517,94,211,27
"ACBD3",49,65,0,30,27,1,358,7,1,1,42,103,5,193,25,11,114,4,1,0
"ACBD4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACBD5",6,30,2,0,18,0,14,33,13,0,0,1,0,1,0,0,80,19,14,0
"ACBD6",52,0,0,11,4,0,7,0,0,1,17,69,0,0,239,0,2,35,0,199
"ACBD7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ACCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",0,0,1,0,0,0,2,0,0,13,18,0,0,0,0,0,1,0,0,0
"ACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHE",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"ACIN1",17,28,13,5,12,43,1,41,2,31,1,6,7,0,2,0,4,2,3,160
"ACLY",36,8,51,17,344,192,34,9,54,145,64,154,229,96,56,19,1,36,2,410
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ACN9",132,0,18,2,2,0,66,137,6,0,46,8,0,0,2,79,46,103,0,25
"ACO1",0,0,28,0,2,2,0,3,2,92,0,27,0,64,21,34,0,0,2,0
"ACO2",0,0,43,0,0,0,43,53,32,0,36,0,2,0,106,2,47,0,205,0
"ACOT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT11",0,0,0,0,0,0,9,0,12,11,20,9,14,0,0,73,13,16,0,0
"ACOT12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT13",1,109,1,32,3,61,31,9,0,0,0,20,35,1,20,1,42,3,0,45
"ACOT2",0,0,0,0,0,0,0,0,0,1,0,82,0,0,0,0,0,5,0,28
"ACOT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT7",7,228,0,45,0,26,3,3,32,461,468,503,273,0,1021,365,351,0,651,404
"ACOT8",4,0,0,229,0,0,8,0,0,10,0,0,0,0,0,0,0,3,97,0
"ACOT9",291,374,214,0,2,3,25,1,140,290,19,368,40,0,300,1,0,211,0,9
"ACOX1",4,3,8,3,0,10,3,2,5,2,5,15,0,1,0,1,5,41,39,8
"ACOX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOX3",11,1,34,0,1,41,0,0,126,27,27,0,0,0,0,3,0,1,0,0
"ACOXL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP1",148,59,84,119,513,150,44,87,190,397,93,81,3,351,19,198,155,300,305,742
"ACP2",0,7,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,8,0,214
"ACP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP6",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF3",0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,1
"ACSL1",306,0,0,0,226,195,7,0,41,20,0,1,1,408,85,106,0,77,0,128
"ACSL3",2,38,16,51,203,78,4,9,0,47,7,84,89,0,14,3,11,23,65,8
"ACSL4",33,0,145,111,44,2,3,40,21,80,53,45,1,8,78,9,110,158,149,55
"ACSL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ACSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS2",0,0,0,0,2,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"ACSS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTA1",0,0,2,0,0,0,0,0,0,4080,2760,834,0,155,0,0,269,331,663,0
"ACTA2",3063,3,4101,75,219,11867,3211,1683,7279,2780,3014,95,5166,12398,1375,332,1431,612,7368,151
"ACTB",11894,6823,11489,4948,4550,12946,10214,7626,14695,6552,6372,6053,6508,3967,10437,7296,9064,3663,9261,3607
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTC1",15511,2895,13041,12861,12425,13886,15217,11531,20939,22051,21115,22625,11367,27094,19890,24059,22495,8664,30128,20764
"ACTG1",5540,2903,3140,2356,3596,6755,5156,4405,3544,2255,1619,1738,3606,2868,4306,2122,2886,965,2384,1557
"ACTG1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG2",0,0,0,0,0,2793,0,0,0,0,0,0,0,0,0,0,9,0,161,0
"ACTL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL6A",196,5,0,27,1,1,0,243,196,3,222,164,58,2,0,0,0,337,0,0
"ACTL6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",26,14,330,6,128,289,43,26,72,4,137,134,5,401,74,1,212,84,83,1
"ACTN1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN2",0,85,113,20,0,0,211,30,0,568,35,561,66,321,52,486,154,27,274,552
"ACTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN4",31,97,66,1,11,10,39,1,20,2,34,25,31,268,102,6,10,5,65,85
"ACTR10",64,313,121,135,127,365,134,37,165,254,206,316,0,736,49,220,44,69,280,141
"ACTR1A",7,79,165,5,171,197,24,4,51,126,37,108,8,0,5,141,94,29,2,0
"ACTR1B",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0
"ACTR2",68,91,206,31,112,121,161,164,124,30,124,79,129,95,156,203,284,210,186,172
"ACTR3",70,347,364,11,85,294,167,9,165,296,131,217,283,229,462,248,199,212,311,12
"ACTR3B",0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,1,23
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR5",1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR6",72,1,1,1,169,0,111,0,35,4,75,3,0,0,14,0,31,26,4,0
"ACTR8",0,0,0,0,121,63,1,0,0,3,202,28,4,0,7,0,0,0,0,0
"ACTRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACVR1",0,36,0,70,48,0,0,0,0,0,48,49,0,0,0,0,0,0,0,13
"ACVR1B",28,0,0,0,0,0,0,0,1,9,1,40,0,0,0,0,0,0,0,0
"ACVR1C",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACVR2A",0,125,132,282,0,0,81,15,148,1,0,82,2,128,4,0,55,229,433,50
"ACVR2B",0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,58
"ACVR2B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACVRL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACY1",0,0,0,53,0,0,404,72,0,0,0,0,0,0,109,0,0,0,0,3
"ACY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACYP1",4,0,0,76,0,0,213,143,0,0,0,83,3,0,0,0,0,3,0,0
"ACYP2",0,14,20,0,0,0,150,10,30,20,46,0,0,0,0,0,152,0,228,0
"ADA",3,1,21,3,1,0,5,6,1,1,0,5,3,2,1,68,5,2,0,1
"ADAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAL",110,0,0,1,0,1,1,0,0,40,32,33,0,0,156,0,203,148,35,15
"ADAM10",18,169,55,60,0,251,0,2,28,29,2,44,234,0,57,4,0,10,1,95
"ADAM11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM12",0,0,0,2,0,0,0,24,0,0,0,0,4,0,0,0,0,1,0,0
"ADAM15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM17",142,88,32,21,77,45,155,128,69,71,73,249,76,130,183,80,68,88,48,316
"ADAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM19",507,482,55,714,755,771,924,218,327,367,157,401,418,127,390,293,458,432,1050,519
"ADAM1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20",0,0,0,0,3,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM21P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM23",0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0
"ADAM28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM9",2,406,119,118,86,34,1,0,34,0,23,151,64,0,357,73,42,52,2,0
"ADAMDEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS1",0,295,0,291,1,153,101,188,42,0,100,33,0,276,75,0,0,403,0,8
"ADAMTS10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS12",11,108,40,12,0,8,0,33,0,0,0,0,0,0,0,0,1,3,3,0
"ADAMTS13",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ADAMTS14",0,0,4,49,0,3,0,0,0,0,13,4,0,175,0,0,0,7,0,0
"ADAMTS15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
