"","SRR1033183","SRR1033278","SRR1033010","SRR1033228","SRR1033161","SRR1032930","SRR1032912","SRR1032941","SRR1033275","SRR1032971","SRR1032972","SRR1032981","SRR1032945","SRR1032948","SRR1032953","SRR1032982","SRR1032924","SRR1032964","SRR1032985","SRR1032989"
"ABCA11P",1,14,0,0,141,35,9,0,6,0,1,2,0,7,41,2,0,0,0,0
"ABCA12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA17P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA5",0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
"ABCA6",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ABCA8",0,15,0,11,0,0,0,0,0,0,0,0,4,3,29,0,39,17,0,0
"ABCA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB10",91,0,0,0,0,0,0,0,1,49,1,0,25,2,0,0,0,0,0,6
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB5",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,11
"ABCB7",0,0,0,34,0,73,0,11,0,0,0,0,4,10,0,0,7,0,119,3
"ABCB8",0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,8,0,0,9,0
"ABCB9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC1",0,25,0,7,0,0,1,0,0,0,11,0,0,3,3,3,0,0,0,3
"ABCC10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2
"ABCC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC3",0,0,0,42,0,0,0,27,0,0,0,60,4,0,22,0,0,0,0,0
"ABCC4",0,1,0,0,3,5,0,4,0,38,0,52,0,0,0,0,0,0,0,24
"ABCC5",0,23,0,16,14,8,1,0,23,0,0,0,30,1,0,16,0,2,0,0
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC9",7,7,2,7,5,6,1,5,3,2,1,7,7,1,3,2,2,1,7,9
"ABCD1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
"ABCD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD3",33,57,0,7,0,8,68,46,29,90,68,32,62,3,14,23,6,0,84,0
"ABCD4",0,2,0,0,0,0,3,0,0,1,27,0,0,19,0,7,0,0,26,18
"ABCE1",236,77,1,62,10,104,50,165,67,24,141,258,114,178,70,104,25,214,252,44
"ABCF1",30,42,8,45,117,39,142,9,24,42,78,30,203,64,16,21,90,26,10,53
"ABCF2",207,1,1,41,1,137,80,4,43,22,134,10,85,45,143,10,39,314,109,188
"ABCF3",0,7,0,0,0,68,0,0,8,0,0,3,1,2,0,2,0,0,0,156
"ABCG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD10",0,81,0,11,1,0,40,17,0,89,1,70,0,39,2,0,32,0,6,0
"ABHD11",0,0,0,2,0,0,20,12,25,55,0,12,0,10,0,0,28,0,0,26
"ABHD12",0,0,0,0,0,0,8,0,0,115,0,0,0,33,0,0,1,0,0,115
"ABHD12B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD13",0,1,0,3,4,0,0,2,25,9,0,0,0,13,0,6,0,0,0,0
"ABHD14A",0,0,0,2,0,1,0,182,38,0,3,9,0,56,0,0,0,0,0,0
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ABHD14B",0,0,0,1,0,1,67,44,34,0,13,1,0,19,0,7,0,62,0,133
"ABHD15",0,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ABHD16A",0,0,11,0,2,1,1,0,4,1,0,0,1,0,36,0,16,0,0,0
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD2",15,0,2,26,1,9,21,7,24,43,28,32,13,2,35,9,1,2,7,0
"ABHD3",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
"ABHD4",0,0,3,0,146,0,1,0,120,0,0,0,0,0,0,0,0,8,0,0
"ABHD5",35,0,0,0,14,6,55,21,24,48,2,0,6,23,0,21,40,16,0,0
"ABHD6",0,0,0,0,0,0,0,0,2,0,0,18,0,6,0,0,0,0,0,0
"ABHD8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ABI1",33,45,34,124,103,0,3,127,173,42,1,5,72,0,72,38,8,5,15,36
"ABI2",2,22,16,16,48,20,27,14,41,1,5,17,0,1,14,6,38,23,1,11
"ABI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI3BP",0,33,137,26,73,3,49,11,0,113,6,8,0,52,26,49,25,60,0,0
"ABL1",0,29,0,7,1,0,7,45,26,0,5,0,37,0,0,8,8,2,2,21
"ABL2",11,25,1,3,10,27,5,10,2,16,0,10,16,61,32,17,6,1,3,32
"ABLIM1",115,0,28,0,0,2,18,0,0,2,1,0,0,0,0,11,0,0,0,0
"ABLIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM3",63,0,0,1,0,45,15,1,0,48,9,0,0,0,0,32,0,40,1,0
"ABO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABR",0,1,0,4,0,2,8,0,6,0,0,36,7,0,0,0,3,0,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",0,261,263,62,55,253,12,90,203,10,177,1,41,179,117,168,26,140,330,23
"ABT1",49,16,0,6,31,72,67,1,0,30,11,186,93,44,1,21,55,6,59,33
"ABTB1",0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,0,0,0,0
"ABTB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAA1",0,0,0,0,97,0,5,0,9,0,12,37,0,3,1,49,0,0,2,0
"ACAA2",245,167,639,340,99,24,85,110,179,305,102,69,310,66,24,22,44,167,87,124
"ACACA",5,0,0,0,7,4,4,4,0,0,2,27,2,1,0,3,15,4,1,0
"ACACB",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ACAD10",89,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
"ACAD11",0,0,0,20,0,0,1,10,0,0,0,0,0,0,0,21,2,0,0,0
"ACAD8",0,0,0,0,0,0,267,0,0,0,0,0,198,39,0,0,0,0,11,0
"ACAD9",0,73,2,0,15,0,1,0,0,0,0,0,1,1,0,41,0,0,1,4
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",41,4,124,14,4,19,11,6,29,3,64,23,18,72,6,72,95,15,5,7
"ACADS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADSB",0,10,1,0,0,0,3,0,38,0,0,65,52,0,0,0,1,41,1,0
"ACADVL",0,0,2,31,7,4,1,0,47,11,20,0,8,0,90,1,6,28,60,0
"ACAN",0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP1",0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0
"ACAP2",0,75,1,19,0,13,13,0,47,16,3,26,26,3,11,27,3,10,16,4
"ACAP3",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
"ACAT1",75,148,268,92,237,29,179,170,140,109,23,155,13,121,178,74,188,39,30,91
"ACAT2",476,209,548,165,349,79,182,161,584,330,265,0,36,103,18,281,1,80,28,306
"ACBD3",38,21,2,40,78,15,30,2,19,29,6,0,3,23,5,1,25,0,1,0
"ACBD4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD5",0,1,0,5,0,0,28,3,47,0,50,0,66,1,0,9,39,0,5,6
"ACBD6",6,42,0,0,1,26,19,24,58,0,130,11,17,136,22,25,103,0,65,21
"ACBD7",0,1,0,1,52,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0
"ACCS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",0,0,0,0,1,0,0,0,0,41,9,40,0,25,23,34,0,0,0,34
"ACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ACER3",12,0,10,0,0,0,0,10,75,66,1,3,0,0,0,38,37,0,25,0
"ACHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACIN1",42,16,55,11,63,9,21,32,20,0,10,3,16,5,4,4,2,22,6,1
"ACLY",38,62,0,66,364,13,212,120,132,6,68,113,7,101,76,12,43,2,195,28
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACN9",0,9,0,24,0,27,0,9,57,0,7,0,35,24,0,1,17,3,34,105
"ACO1",0,7,0,1,0,0,1,0,11,0,0,0,0,8,0,4,0,0,12,81
"ACO2",0,1,0,4,60,0,2,5,36,0,41,25,107,25,1,8,0,45,1,21
"ACOT1",0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
"ACOT11",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"ACOT12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT13",0,1,10,28,13,3,16,51,20,7,0,0,6,10,51,11,19,4,6,0
"ACOT2",0,2,0,10,0,0,22,0,2,0,1,0,0,0,16,1,0,0,0,0
"ACOT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT7",651,123,37,151,14,111,178,144,57,191,229,277,592,238,45,28,243,298,142,170
"ACOT8",0,0,0,25,0,0,3,12,30,0,0,0,1,14,0,7,1,0,12,0
"ACOT9",99,142,37,89,1,142,36,26,115,0,102,0,129,25,366,85,51,207,143,52
"ACOX1",0,0,0,22,0,2,1,10,47,1,1,1,1,19,19,1,1,0,0,24
"ACOX2",0,15,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
"ACOX3",0,41,0,1,0,0,85,35,7,79,0,6,0,23,0,0,41,64,48,44
"ACOXL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP1",290,162,294,197,50,235,163,465,126,0,421,418,186,363,338,225,191,76,370,429
"ACP2",0,0,25,17,0,0,0,26,0,14,0,0,0,0,0,3,0,0,0,0
"ACP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP6",0,0,0,0,0,0,77,0,1,6,3,0,0,0,21,0,0,0,0,0
"ACPL2",0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
"ACPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRV1",0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"ACSBG1",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"ACSBG2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ACSF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSF3",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,0
"ACSL1",6,0,0,2,0,0,0,0,0,0,0,2,19,0,0,1,10,0,56,6
"ACSL3",8,130,0,48,39,54,39,29,26,23,20,8,6,14,2,84,20,37,29,4
"ACSL4",17,34,1,68,9,100,20,12,26,1,51,28,61,33,56,40,3,19,54,3
"ACSL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL6",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ACSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACSS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS2",17,0,0,4,0,0,0,20,0,0,19,0,1,0,4,0,0,0,0,0
"ACSS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTA1",0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTA2",9715,200,290,159,986,0,1,0,11,0,0,0,0,0,176,96,0,0,0,11
"ACTB",10972,10545,8926,7616,10241,8561,8466,7203,11734,6830,7224,6678,7631,8364,7063,9553,7788,6084,9402,13455
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTC1",18692,1863,2984,47,4,3839,1880,647,61,2824,644,2892,1940,696,0,1995,2,478,5,1
"ACTG1",4430,6160,3315,4384,10804,5105,3516,4977,5630,3428,4256,3673,3301,3874,3749,4237,2783,5498,5312,5543
"ACTG1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG2",0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0
"ACTL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL6A",203,108,0,65,562,6,213,174,127,24,198,36,264,183,300,62,128,96,16,146
"ACTL6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",204,31,24,28,206,111,266,113,103,46,38,125,81,139,95,344,113,155,57,33
"ACTN1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN2",10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN4",92,36,30,18,71,41,12,41,26,11,9,28,63,21,9,45,12,44,54,77
"ACTR10",112,48,61,86,63,16,147,208,238,98,185,206,78,197,1,81,230,33,150,11
"ACTR1A",4,49,67,43,39,3,33,103,41,106,82,72,7,57,4,55,74,0,8,13
"ACTR1B",0,2,0,0,0,1,0,4,14,0,0,1,18,15,0,0,0,36,0,42
"ACTR2",224,102,6,189,149,80,210,302,188,98,181,113,151,117,84,168,170,209,425,124
"ACTR3",276,140,64,116,172,145,265,82,127,71,43,296,99,100,155,240,126,238,121,21
"ACTR3B",0,0,0,0,0,7,47,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACTR3BP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR5",0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,20
"ACTR6",8,0,0,2,1,0,26,18,168,153,125,61,25,16,16,56,16,0,105,0
"ACTR8",0,1,127,14,0,1,0,1,116,0,0,40,3,5,0,5,0,1,0,0
"ACTRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACVR1",0,0,0,1,0,0,99,0,0,0,55,125,8,47,0,12,0,0,12,0
"ACVR1B",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ACVR1C",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ACVR2A",0,26,5,70,5,5,0,0,1,0,0,104,3,23,4,100,19,68,6,0
"ACVR2B",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ACVR2B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACVRL1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ACY1",0,10,113,1,0,278,140,142,81,241,72,14,252,0,0,0,4,0,0,1
"ACY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACYP1",0,115,99,136,0,114,152,4,0,279,13,159,75,4,0,80,65,227,0,144
"ACYP2",19,115,1,0,3,0,0,2,0,43,0,0,0,19,0,27,0,0,0,0
"ADA",0,0,3,71,306,0,1,17,0,0,0,0,0,40,0,0,0,0,0,0
"ADAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAL",31,7,0,0,89,1,6,0,0,0,3,1,50,25,1,52,0,0,9,0
"ADAM10",11,50,0,10,103,2,5,29,59,0,0,26,11,2,2,6,0,23,37,25
"ADAM11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM12",0,0,130,6,0,0,25,0,1,0,0,0,17,15,0,11,0,9,0,0
"ADAM15",0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0
"ADAM17",84,13,102,109,27,32,26,32,25,39,49,11,52,9,0,48,32,64,8,0
"ADAM18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM19",415,183,249,100,197,164,280,408,201,132,267,259,98,78,51,177,66,237,85,98
"ADAM1A",0,0,13,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM20P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM21",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
"ADAM21P1",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"ADAM22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM23",0,1,0,0,0,2,0,0,0,0,0,0,0,0,86,0,0,0,0,0
"ADAM28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM32",0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"ADAM33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM9",0,149,30,150,292,152,72,238,112,262,147,107,234,174,99,52,48,202,155,293
"ADAMDEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS1",0,37,6,5,0,16,55,83,2,143,12,5,2,126,0,6,23,0,56,3
"ADAMTS10",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS12",64,1,3,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0
"ADAMTS13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS15",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTS18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
