"","out01_0","out02_0","out03_0","out04_0","out05_0","out06_0","out07_0","out08_0","out09_0"
"ABHD14B",15,18,16,16,14,18,17,14,18
"ABHD15",1,1,1,1,1,0,1,1,1
"ABHD16A",10,10,9,8,6,8,6,5,6
"ABHD16B",0,0,0,0,0,0,0,0,0
"ABHD2",10,10,10,10,9,10,10,9,10
"ABHD3",0,1,0,0,1,0,1,0,1
"ABHD4",31,28,25,22,18,18,15,13,13
"ABHD5",14,13,13,14,14,15,16,15,17
"ABHD6",3,2,2,2,2,1,1,1,1
"ABHD8",1,1,1,0,0,1,0,0,0
"ABI1",52,53,48,53,45,50,52,48,52
"ABI2",22,22,22,21,18,18,20,18,18
"ABI3",0,0,0,0,0,0,0,0,0
"ABI3BP",31,31,32,31,27,30,33,29,30
"ABL1",7,9,10,9,9,10,11,10,13
"ABL2",37,34,33,30,23,24,24,19,19
"ABLIM1",48,43,39,32,24,24,18,13,11
"ABLIM2",1,1,1,1,1,1,1,0,1
"ABLIM3",51,46,39,37,26,26,22,15,12
"ABO",0,0,0,0,0,0,0,0,0
"ABP1",0,0,0,0,0,0,0,0,0
"ABR",3,3,3,2,2,2,2,2,2
"ABRA",0,0,0,1,0,0,0,0,1
"ABRACL",101,102,106,111,98,127,120,119,129
"ABT1",54,56,53,52,43,48,50,42,44
"ABTB1",1,2,1,1,1,1,1,0,1
"ABTB2",1,1,1,1,1,1,1,1,1
"ACAA1",10,10,14,11,12,14,14,13,15
"ACAA2",174,170,164,178,154,164,173,153,161
"ACACA",7,6,6,5,4,5,4,3,3
"ACACB",1,1,1,1,0,0,0,0,0
"ACAD10",10,9,8,8,7,6,6,5,5
"ACAD11",4,4,4,3,4,3,4,3,4
"ACAD8",11,13,13,12,12,14,15,15,16
"ACAD9",3,4,3,3,3,4,4,4,4
"ACADL",0,0,0,0,0,0,0,0,0
"ACADM",30,32,34,37,35,43,44,41,46
"ACADS",0,0,0,0,0,0,0,0,0
"ACADSB",13,12,11,10,9,10,9,7,8
"ACADVL",32,31,28,26,23,26,23,21,22
"ACAN",4,3,3,2,2,2,1,1,1
"ACAP1",0,0,0,0,0,0,0,0,0
"ACAP2",9,10,10,11,11,12,12,11,12
"ACAP3",1,1,1,1,1,1,1,0,0
"ACAT1",95,96,97,102,91,107,107,105,115
"ACAT2",273,269,256,246,203,219,211,191,188
"ACBD3",43,40,35,34,27,27,24,19,19
"ACBD4",0,0,0,0,0,0,0,0,0
"ACBD5",11,11,12,11,11,13,14,12,14
"ACBD6",33,32,36,36,28,36,36,34,37
"ACBD7",1,1,1,2,1,2,3,3,3
"ACCS",0,0,1,1,1,2,3,2,3
"ACCSL",0,0,0,0,0,0,0,0,0
"ACD",6,7,8,12,9,13,13,13,15
"ACE",0,0,0,0,0,0,0,0,0
"ACE2",0,0,0,0,0,0,0,0,0
"ACER1",0,0,0,0,0,0,0,0,0
"ACER2",0,0,0,0,0,0,0,0,0
"ACER3",1,3,3,5,5,7,7,8,9
"ACHE",1,1,1,1,1,1,0,0,0
"ACIN1",15,15,15,14,12,14,13,14,14
"ACLY",77,77,73,76,67,71,72,64,67
"ACMSD",0,0,0,0,0,0,0,0,0
"ACN9",24,23,25,26,23,24,26,20,25
"ACO1",18,17,17,16,14,16,16,14,16
"ACO2",27,27,28,26,22,23,22,21,19
"ACOT1",0,0,0,0,0,0,1,0,0
"ACOT11",7,5,4,4,3,2,2,1,1
"ACOT12",0,0,0,0,0,0,0,0,0
"ACOT13",21,22,22,20,16,18,18,17,17
"ACOT2",3,3,3,3,2,3,3,3,4
"ACOT4",0,0,0,0,0,0,0,0,0
"ACOT6",0,0,0,0,0,0,0,0,0
"ACOT7",222,206,199,193,170,185,176,158,162
"ACOT8",17,18,16,15,11,11,12,8,8
"ACOT9",141,136,134,138,115,125,125,114,120
"ACOX1",13,13,11,10,8,8,8,7,6
"ACOX2",0,0,1,1,1,1,1,1,1
"ACOX3",10,11,11,12,12,13,15,13,15
"ACOXL",0,0,0,0,0,0,0,0,0
"ACP1",201,203,200,204,185,214,217,205,224
"ACP2",4,4,3,3,3,4,4,3,4
"ACP5",0,0,0,0,0,0,0,0,0
"ACP6",3,4,5,5,4,5,5,6,5
"ACPL2",0,1,1,1,1,1,2,2,1
"ACPP",0,0,0,0,0,0,0,0,0
"ACPT",0,0,0,0,0,0,0,0,0
"ACR",0,0,0,0,0,0,0,0,0
"ACRBP",0,0,0,0,0,0,0,0,0
"ACRC",1,1,1,1,0,0,0,0,0
"ACRV1",0,0,0,0,0,1,0,1,0
"ACSBG1",1,1,0,0,0,0,1,1,1
"ACSBG2",0,0,0,0,0,0,0,0,0
"ACSF2",0,0,0,0,0,0,0,0,0
"ACSF3",0,1,2,2,2,3,4,4,4
"ACSL1",62,57,49,44,33,32,25,18,15
"ACSL3",38,38,37,36,31,32,33,28,29
"ACSL4",52,52,49,46,40,43,39,35,37
"ACSL5",0,0,0,0,0,0,0,0,0
"ACSL6",0,0,0,0,0,0,0,0,0
"ACSM1",0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0
"ACSM3",0,0,0,0,0,0,0,0,0
"ACSM4",0,0,0,0,0,0,0,0,0
"ACSM5",0,0,0,0,0,0,0,0,0
"ACSS1",0,0,0,0,0,0,0,0,0
"ACSS2",1,1,1,2,1,2,1,1,1
"ACSS3",0,0,0,0,0,0,0,0,0
"ACTA1",982,857,701,614,428,387,286,166,88
"ACTA2",3425,2958,2560,2176,1593,1486,1130,761,497
"ACTB",7763,7839,7818,7969,7009,8083,8322,7478,8241
"ACTBL2",0,0,0,0,0,0,0,0,0
"ACTC1",13849,12422,10738,9259,6959,6536,5214,3630,2712
"ACTG1",3430,3611,3768,3928,3575,4182,4320,4030,4498
"ACTG1P4",0,0,0,0,0,0,0,0,0
"ACTG2",63,56,44,42,31,30,23,18,15
"ACTL10",0,0,0,0,0,0,0,0,0
"ACTL6A",92,101,104,110,105,116,128,121,136
"ACTL6B",0,0,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0
"ACTN1",102,98,98,95,86,99,99,86,98
"ACTN1-AS1",0,0,0,0,0,0,0,0,0
"ACTN2",141,125,104,90,63,56,42,23,13
"ACTN3",0,0,0,0,0,0,0,0,0
"ACTN4",49,46,41,38,33,36,34,31,30
"ACTR10",145,144,138,129,112,122,116,101,100
"ACTR1A",69,64,62,60,50,56,54,50,50
"ACTR1B",3,3,4,3,4,4,3,5,4
"ACTR2",138,139,144,146,130,150,151,139,152
"ACTR3",209,195,186,179,154,168,160,141,151
"ACTR3B",2,2,2,3,2,3,3,3,3
"ACTR3BP2",0,0,0,0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0,0,0,0
"ACTR3C",0,0,0,0,0,0,0,0,0
"ACTR5",2,1,1,1,1,1,1,1,1
"ACTR6",33,36,37,38,32,41,41,37,41
"ACTR8",18,19,18,18,16,17,18,17,18
"ACTRT1",0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,0,0,0,0,0,0,0
"ACVR1",25,23,21,21,19,17,18,17,15
"ACVR1B",2,2,1,1,1,1,1,1,0
"ACVR1C",0,0,0,0,0,0,0,0,0
"ACVR2A",82,74,63,58,45,43,38,28,23
"ACVR2B",2,2,1,1,1,1,1,1,0
"ACVR2B-AS1",0,0,0,0,0,0,0,0,0
"ACVRL1",3,3,2,2,2,1,1,1,1
"ACY1",29,34,38,43,39,47,51,47,57
"ACY3",0,0,0,0,0,0,0,0,0
"ACYP1",27,36,35,51,46,61,59,64,75
"ACYP2",22,17,18,18,16,14,16,10,10
"ADA",5,6,8,7,8,9,8,9,9
"ADAD1",0,0,0,0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0,0,0,0
"ADAL",42,38,34,32,24,22,21,18,16
"ADAM10",40,37,37,34,27,29,25,22,20
"ADAM11",0,0,0,0,0,0,0,0,0
"ADAM12",6,7,8,9,9,11,11,13,13
"ADAM15",0,0,0,0,0,0,0,0,0
"ADAM17",90,84,76,71,55,59,53,43,41
"ADAM18",0,0,0,0,0,0,0,0,0
"ADAM19",394,362,335,311,245,257,233,191,189
"ADAM1A",1,2,2,3,3,4,5,4,7
"ADAM2",0,0,0,0,0,0,0,0,0
"ADAM20",2,1,1,2,1,1,1,0,0
"ADAM20P1",0,0,0,0,0,0,0,0,0
"ADAM21",0,0,0,1,1,1,1,1,1
"ADAM21P1",0,0,0,0,0,0,0,0,0
"ADAM22",0,0,0,0,0,0,0,0,0
"ADAM23",3,3,3,3,3,3,3,3,3
"ADAM28",0,0,0,0,0,0,0,0,0
"ADAM29",0,0,0,0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,0,0,0
"ADAM32",0,0,0,0,1,0,1,1,1
"ADAM33",0,0,0,0,0,0,0,0,0
"ADAM3A",0,0,0,0,0,0,0,0,0
"ADAM5",0,0,0,0,0,0,0,0,0
"ADAM6",0,0,0,0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0,0,0,0
"ADAM8",0,0,0,0,0,0,0,0,0
"ADAM9",101,106,113,114,108,126,132,123,138
"ADAMDEC1",0,0,0,0,0,0,0,0,0
"ADAMTS1",74,72,63,59,47,49,44,37,36
"ADAMTS10",0,0,0,0,0,0,0,0,0
"ADAMTS12",14,14,13,12,8,9,7,6,5
"ADAMTS13",0,0,0,0,0,0,0,0,0
"ADAMTS14",7,6,4,4,3,2,2,1,1
"ADAMTS15",0,0,0,0,0,0,0,0,0
"ADAMTS16",0,0,0,0,0,0,0,0,0
"ADAMTS17",0,0,0,0,0,0,0,0,0
"ADAMTS18",0,0,0,0,0,0,0,0,0
"ADAMTS19",0,0,0,0,0,0,0,0,0
"ADAMTS2",2,2,3,3,4,5,5,5,6
"ADAMTS20",0,0,0,0,0,0,0,0,0
"ADAMTS3",0,0,0,0,1,1,1,1,1
"ADAMTS4",23,21,19,18,15,15,14,13,11
"ADAMTS5",80,69,60,52,37,34,28,17,12
"ADAMTS6",6,6,8,8,8,9,11,10,12
"ADAMTS7",4,3,3,3,2,2,1,1,1
"ADAMTS8",0,0,0,0,0,0,0,0,0
"ADAMTS9",1,0,0,0,0,0,0,0,0
"ADAMTS9-AS2",0,0,0,0,0,0,0,0,0
"ADAMTSL1",31,30,30,28,22,25,26,20,24
"ADAMTSL2",0,0,0,0,0,0,0,0,0
"ADAMTSL3",0,0,0,0,0,0,0,0,0
"ADAMTSL4",4,3,3,3,2,2,1,1,1
"ADAMTSL5",6,6,5,4,4,3,3,1,1
"ADAP1",0,0,0,0,0,0,0,0,0
"ADAP2",0,0,0,0,0,0,0,0,0
"ADAR",27,30,33,35,32,37,39,36,42
"ADARB1",38,38,34,32,26,29,28,23,25
"ADARB2",0,0,0,0,0,0,0,0,0
"ADARB2-AS1",0,0,0,0,0,0,0,0,0
"ADAT1",10,10,12,12,10,13,13,13,15
"ADAT2",3,3,4,4,4,5,4,4,5
"ADAT3",0,0,0,0,0,0,0,0,0
"ADC",17,16,13,11,7,6,5,3,1
"ADCK1",7,6,5,5,2,3,2,1,2
"ADCK2",3,3,2,2,2,1,2,2,1
"ADCK3",2,2,2,1,1,2,2,2,1
"ADCK4",5,3,2,2,2,2,2,1,2
"ADCK5",1,2,1,1,0,0,0,0,0
"ADCY1",0,0,0,0,0,0,0,0,0
"ADCY10",0,0,0,0,0,0,0,0,0
"ADCY10P1",0,0,0,0,0,0,0,0,0
"ADCY2",0,0,0,0,0,0,0,0,0
"ADCY3",1,2,3,4,4,5,7,6,7
"ADCY4",0,0,0,0,0,0,0,0,0
"ADCY5",0,0,0,0,0,0,0,0,0
"ADCY6",10,10,8,7,5,6,4,3,3
"ADCY7",3,3,3,3,3,4,4,3,4
"ADCY8",0,0,0,0,0,0,0,0,0
"ADCY9",1,1,1,1,1,1,1,1,1
"ADCYAP1",0,0,0,0,0,0,0,0,0
"ADCYAP1R1",0,0,0,0,0,0,0,0,0
"ADD1",39,38,40,37,34,39,36,33,36
"ADD2",0,0,0,0,0,0,0,0,0
"ADD3",17,18,19,20,18,20,20,20,22
"ADGB",0,0,0,0,0,0,0,0,0
"ADH1A",0,0,0,0,0,0,0,0,0
"ADH1B",0,0,0,0,0,0,0,0,0
"ADH1C",0,0,0,0,0,0,0,0,0
"ADH4",0,0,0,0,0,0,0,0,0
"ADH5",166,163,158,159,141,160,159,145,154
"ADH6",0,0,0,0,0,0,0,0,0
"ADH7",0,0,0,0,0,0,0,0,0
"ADHFE1",1,0,1,0,0,0,0,0,0
"ADI1",26,23,25,25,22,25,23,21,24
"ADIG",0,0,0,0,0,0,0,0,0
"ADIPOQ",0,0,0,0,0,0,0,0,0
"ADIPOQ-AS1",0,0,0,0,0,0,0,0,0
"ADIPOR1",63,64,61,59,50,52,55,50,52
"ADIPOR2",9,8,9,9,8,10,10,9,11
"ADIRF",119,124,133,143,134,161,160,157,178
"ADK",154,144,147,144,122,133,131,120,127
"ADM",5,8,9,9,9,10,13,12,14
"ADM2",1,1,1,1,0,0,1,0,0
"ADM5",0,0,0,0,0,0,0,0,0
"ADNP",14,16,15,17,15,18,20,18,20
"ADNP2",11,10,9,9,8,8,8,7,7
"ADO",8,7,7,6,4,5,5,4,3
"ADORA1",8,8,7,6,4,3,4,2,1
"ADORA2A",0,0,0,0,0,0,0,0,0
"ADORA2A-AS1",0,0,0,0,0,0,0,0,0
"ADORA2B",1,3,4,5,7,9,9,9,12
"ADORA3",0,0,0,0,0,0,0,0,0
"ADPGK",11,10,10,10,9,9,10,10,10
"ADPGK-AS1",0,0,0,0,0,0,0,0,0
"ADPRH",0,0,0,1,0,0,1,1,1
"ADPRHL1",0,0,0,0,0,1,1,1,0
"ADPRHL2",30,34,37,41,38,48,54,49,55
"ADPRM",95,86,78,68,53,52,41,30,28
"ADRA1A",0,0,0,0,0,0,0,0,0
"ADRA1B",0,1,1,1,1,2,2,2,3
"ADRA1D",1,0,0,0,0,0,0,0,0
"ADRA2A",2,2,1,1,1,1,1,1,1
"ADRA2B",0,0,0,0,0,0,0,0,0
"ADRA2C",0,0,0,0,0,0,0,0,0
"ADRB1",0,0,0,0,0,0,0,0,0
"ADRB2",19,19,17,19,17,17,16,14,15
"ADRB3",0,0,0,0,0,0,0,0,0
"ADRBK1",1,1,1,1,1,1,1,1,1
"ADRBK2",1,1,1,1,1,1,1,0,0
"ADRM1",91,85,90,88,83,93,94,84,91
"ADSL",239,238,222,219,181,195,193,170,170
"ADSS",6,6,7,8,7,8,9,8,9
"ADSSL1",0,0,0,0,0,0,0,0,0
"ADTRP",0,0,0,0,0,1,1,1,1
"AEBP1",2,2,2,2,2,2,3,3,3
"AEBP2",100,97,95,92,81,94,89,81,84
"AEN",23,21,22,21,17,21,19,18,18
"AES",38,42,41,37,31,35,32,31,32
"AFAP1",12,11,10,9,8,8,6,5,5
"AFAP1-AS1",0,0,0,0,0,0,0,0,0
"AFAP1L1",58,53,43,38,27,28,20,13,9
"AFAP1L2",0,0,0,0,0,0,0,0,0
"AFF1",2,2,2,3,2,3,3,3,4
"AFF2",0,0,0,0,0,0,0,0,0
"AFF3",0,0,0,0,0,0,0,0,0
"AFF4",16,15,16,15,13,14,13,12,12
"AFG3L1P",7,10,10,13,14,17,20,20,24
"AFG3L2",35,35,34,32,29,31,28,25,30
"AFM",0,0,0,0,0,0,0,0,0
"AFMID",28,29,25,30,28,37,33,28,36
"AFP",0,0,1,0,0,0,0,0,0
"AFTPH",12,11,11,11,10,9,10,8,10
"AGA",12,12,11,13,10,13,11,10,12
"AGAP1",2,2,2,2,1,1,1,1,1
"AGAP11",1,1,0,1,1,1,0,0,0
"AGAP2",0,0,0,0,0,0,0,0,0
"AGAP3",3,4,4,3,3,3,2,3,3
"AGAP4",0,0,1,1,1,1,1,1,1
"AGAP5",1,1,1,1,1,1,1,1,2
"AGAP6",2,3,2,3,2,2,2,2,2
"AGAP7",0,0,0,0,0,0,0,0,0
"AGAP8",1,1,1,1,1,1,2,2,1
"AGAP9",0,0,0,0,0,0,0,0,0
"AGBL1",2,1,1,1,1,1,0,0,0
"AGBL2",0,0,0,0,0,0,0,0,0
"AGBL3",0,0,0,0,0,0,0,0,0
"AGBL4",0,0,0,0,0,0,0,0,0
"AGBL5",2,3,3,3,3,3,4,4,4
"AGER",0,0,0,0,0,0,0,0,0
"AGFG1",15,15,15,14,12,13,12,10,11
"AGFG2",1,1,1,1,1,1,1,1,1
"AGGF1",9,10,10,10,9,10,10,8,9
"AGK",21,19,22,22,19,22,22,20,22
"AGL",10,8,8,7,5,4,4,3,3
"AGMAT",0,1,0,0,0,0,0,1,1
"AGMO",0,0,1,1,0,1,1,1,1
"AGO1",26,26,22,23,19,19,18,16,16
"AGO2",15,16,15,16,14,16,16,15,15
"AGO3",2,2,2,2,2,2,2,2,2
"AGO4",17,15,14,13,9,9,8,6,6
"AGPAT1",55,57,54,60,54,61,62,58,65
"AGPAT2",1,1,1,2,3,4,4,4,4
"AGPAT3",3,4,3,4,3,4,4,4,4
"AGPAT4",1,1,1,1,1,1,1,1,1
"AGPAT4-IT1",1,0,1,1,1,2,2,2,2
"AGPAT5",37,38,37,36,30,36,34,31,32
"AGPAT6",6,6,7,7,6,7,8,7,8
"AGPAT9",0,0,1,1,1,1,2,2,2
"AGPHD1",1,0,1,1,1,1,2,2,2
"AGPS",26,25,23,21,19,18,18,15,15
"AGR2",0,0,0,0,0,0,0,0,0
"AGR3",0,0,0,0,0,0,0,0,0
"AGRN",0,0,0,0,0,0,0,0,0
"AGRP",0,0,0,0,0,0,0,0,0
"AGSK1",0,0,0,0,0,0,0,0,0
"AGT",4,3,3,3,2,2,1,1,0
"AGTPBP1",3,4,5,4,4,5,6,5,7
"AGTR1",0,0,0,0,0,0,0,1,1
"AGTR2",0,0,0,0,0,0,0,0,0
"AGTRAP",24,24,27,29,30,32,33,30,37
"AGXT",1,1,1,0,0,0,0,0,0
"AGXT2",0,0,0,0,0,0,0,0,0
"AGXT2L1",0,0,0,0,0,0,0,0,0
"AGXT2L2",6,5,4,4,3,3,2,2,1
"AHCTF1",6,7,7,8,8,9,10,9,11
"AHCTF1P1",0,0,0,0,0,0,0,0,0
"AHCY",144,137,123,127,108,118,111,103,102
"AHCYL1",30,29,31,32,29,34,34,33,36
"AHCYL2",0,0,0,0,0,0,0,0,0
"AHDC1",1,1,1,1,1,1,1,0,1
"AHI1",12,13,13,13,12,15,16,15,17
"AHNAK",25,26,27,27,24,26,29,27,28
"AHNAK2",20,18,16,14,11,9,8,5,4
"AHR",10,12,12,14,13,15,16,16,18
"AHRR",2,2,2,2,2,2,2,1,1
"AHSA1",135,138,118,112,97,105,101,89,92
"AHSA2",1,1,2,2,2,2,2,3,3
"AHSG",0,0,0,0,0,0,0,0,0
"AHSP",0,0,0,0,0,0,0,0,0
"AICDA",0,0,0,0,0,0,0,0,0
"AIDA",29,30,29,31,28,32,32,29,34
"AIF1",0,0,0,0,0,0,0,0,0
"AIF1L",19,17,15,12,8,7,6,3,2
"AIFM1",26,27,27,26,24,25,27,25,24
"AIFM2",3,4,5,6,5,7,8,8,9
"AIFM3",0,0,0,0,0,0,0,0,0
"AIG1",89,93,85,79,67,73,73,62,65
"AIM1",1,1,2,2,2,4,3,4,5
"AIM1L",0,0,0,0,0,0,0,0,0
"AIM2",0,0,0,0,0,0,0,0,0
"AIMP1",56,56,52,48,45,49,47,44,42
"AIMP2",84,79,78,78,69,74,78,67,70
"AIP",38,40,42,45,40,46,52,44,45
"AIPL1",0,0,0,0,0,0,0,0,0
"AIRE",0,0,0,0,0,0,0,0,0
"AIRN",2,2,2,1,1,1,0,1,1
"AJAP1",0,0,0,0,0,0,0,0,0
"AJUBA",38,37,30,27,21,20,18,12,10
"AK1",124,117,103,94,67,59,58,44,37
"AK2",96,89,83,80,62,65,60,48,48
"AK3",21,18,17,16,13,14,14,11,12
"AK4",13,13,15,15,14,16,15,15,16
"AK5",43,44,45,48,39,45,46,43,44
"AK7",0,0,0,0,0,0,0,0,0
"AK8",0,0,0,0,0,0,0,0,0
"AKAP1",12,12,10,9,8,8,7,6,7
"AKAP10",13,11,12,12,9,10,9,8,8
"AKAP11",5,6,6,6,6,7,8,8,9
"AKAP12",24,38,52,67,69,90,103,102,121
"AKAP13",28,25,23,21,16,16,14,11,10
"AKAP14",0,0,0,0,0,0,0,0,0
"AKAP17A",0,0,0,0,0,0,0,0,0
"AKAP2",61,60,59,57,49,54,52,48,54
"AKAP3",0,0,0,0,0,0,0,0,0
"AKAP4",0,0,0,0,0,0,0,0,0
"AKAP5",0,0,0,0,0,1,1,1,1
"AKAP6",6,6,5,5,4,3,3,2,2
"AKAP7",4,4,4,3,3,4,4,3,3
"AKAP8",10,11,10,9,8,9,9,8,8
"AKAP8L",7,7,6,6,5,5,5,4,2
"AKAP9",50,47,42,40,32,32,28,23,22
"AKD1",9,8,8,8,4,5,4,3,3
"AKIP1",117,106,103,97,80,88,87,74,79
"AKIRIN1",19,19,20,19,15,17,17,16,16
"AKIRIN2",29,27,25,23,18,20,20,16,17
"AKNA",0,0,0,0,0,0,0,0,0
"AKNAD1",0,0,0,0,0,0,0,0,0
"AKR1A1",231,229,226,220,193,208,222,202,220
"AKR1B1",243,247,245,258,234,278,279,263,295
"AKR1B10",0,1,1,1,2,3,2,3,3
"AKR1B15",0,0,0,0,0,0,0,0,0
"AKR1C1",8,7,9,8,5,7,7,5,6
"AKR1C2",0,1,1,2,2,4,2,3,4
"AKR1C3",21,24,22,21,16,19,18,14,16
"AKR1C4",0,0,0,0,0,0,0,0,0
"AKR1C6P",0,0,0,0,0,0,0,0,0
"AKR1CL1",0,0,0,0,0,0,0,0,0
"AKR1D1",0,0,0,0,0,0,0,0,0
"AKR1E2",0,0,0,0,0,0,0,0,0
"AKR7A2",5,7,7,6,5,9,8,8,8
"AKR7A2P1",0,0,0,0,0,0,0,0,0
"AKR7A3",0,0,0,0,0,0,0,0,0
"AKR7L",1,1,1,1,1,1,0,0,0
"AKT1",32,29,26,23,17,20,18,12,15
"AKT1S1",1,2,2,2,2,2,2,2,2
"AKT2",1,1,1,1,0,0,1,0,1
"AKT3",8,9,10,10,9,11,12,11,13
"AKTIP",24,21,22,21,18,17,18,16,17
"ALAD",8,8,7,7,6,6,6,5,5
"ALAS1",46,44,42,41,31,40,35,30,31
"ALAS2",0,0,0,0,0,0,0,0,0
"ALB",0,0,0,0,0,0,0,0,0
"ALCAM",47,56,63,69,70,85,88,88,104
"ALDH16A1",5,7,8,7,7,9,10,10,11
"ALDH18A1",16,18,16,16,15,17,18,16,17
"ALDH1A1",202,193,183,171,143,147,139,123,124
"ALDH1A2",0,0,0,0,0,0,0,0,0
"ALDH1A3",0,0,1,1,1,1,1,1,1
